width,depth,dropout_p,n_seeds,n_steps,loss_mean,loss_std,loss_sem,train_corr_kernel_mean,train_corr_kernel_std,train_corr_kernel_sem,train_corr_diagonal_mean,train_corr_diagonal_std,train_corr_diagonal_sem,train_corr_raw_mean,train_corr_raw_std,train_corr_raw_sem,train_D_phi_mean,train_D_phi_std,train_D_phi_sem,train_cv_phi_ii_mean,train_cv_phi_ii_std,train_cv_phi_ii_sem,infer_corr_kernel_mean,infer_corr_kernel_std,infer_corr_kernel_sem,infer_corr_diagonal_mean,infer_corr_diagonal_std,infer_corr_diagonal_sem,infer_corr_raw_mean,infer_corr_raw_std,infer_corr_raw_sem,infer_D_phi_mean,infer_D_phi_std,infer_D_phi_sem,infer_cv_phi_ii_mean,infer_cv_phi_ii_std,infer_cv_phi_ii_sem,delta_infer_corr_diagonal_vs_p0_mean,delta_infer_corr_diagonal_vs_p0_ci_low,delta_infer_corr_diagonal_vs_p0_ci_high,delta_train_corr_diagonal_vs_p0_mean,delta_train_corr_diagonal_vs_p0_ci_low,delta_train_corr_diagonal_vs_p0_ci_high,delta_infer_D_phi_vs_p0_mean,delta_infer_D_phi_vs_p0_ci_low,delta_infer_D_phi_vs_p0_ci_high,delta_train_D_phi_vs_p0_mean,delta_train_D_phi_vs_p0_ci_low,delta_train_D_phi_vs_p0_ci_high,delta_loss_vs_p0_mean,delta_loss_vs_p0_ci_low,delta_loss_vs_p0_ci_high
48,3,0.0,10,10000,0.00020206362018944526,8.429602632676846e-05,2.6656744089410547e-05,0.9997258951555901,0.0005243646962721156,0.00016581867648022885,0.942315116061206,0.012496289493872747,0.003951673710147061,0.8224163204884111,0.027167143452481963,0.008591005083037336,0.7966941404150936,0.03349994399328702,0.010593612450686343,0.5952319281821354,0.08318778470650423,0.02630628731762751,0.9997258951555901,0.0005243646962721156,0.00016581867648022885,0.942315116061206,0.012496289493872747,0.003951673710147061,0.8224163204884111,0.027167143452481963,0.008591005083037336,0.7966941404150936,0.03349994399328702,0.010593612450686343,0.5952319281821354,0.08318778470650423,0.02630628731762751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,3,0.1,10,10000,0.003512729191990084,0.0006564738662817668,0.0002075952641827195,0.9997016690517933,0.0006398627333050652,0.0002023423627104885,0.9163295341307831,0.01794916939192363,0.005676025738665815,0.8561465579215909,0.019299874981203287,0.006103156349710177,0.7783026966552843,0.03936012967759357,0.012446765878078457,0.5067441303594875,0.08245721992037458,0.02607526244737916,0.9998600775386969,0.0003762339213603462,0.00011897561245153696,0.9210871115765267,0.020872863493755694,0.006600578993004774,0.8825898198699058,0.02464238623074427,0.007792606747072347,0.798615893048441,0.039409365815539825,0.0124623357119885,0.44890475876216546,0.08368543262125708,0.02646365740597274,-0.02122800448467941,-0.03135533689007253,-0.011838639969641235,-0.02598558193042281,-0.03252675583838487,-0.01904331171862691,0.001921752633347662,-0.01098825727636096,0.01273238879421324,-0.018391443759809212,-0.034679544533648694,-0.002943362521656808,0.003310665571800639,0.002904595857927947,0.0037257536486596074
48,3,0.2,10,10000,0.011026471103360417,0.002466459165026556,0.0007799628717281032,0.9998365183045337,0.00028594976687848245,9.04252559730181e-05,0.9057240253823962,0.021014069950271955,0.006645232395296064,0.8155855504785006,0.019620503393193846,0.006204547956155478,0.7618703344805958,0.05316392135617133,0.01681190808315692,0.5281444844849996,0.08465241795559554,0.026769445018021636,0.9999981567453174,5.282440723110316e-06,1.670454428985545e-06,0.9208319693962939,0.025627046262898797,0.008103983589326642,0.8780175497785481,0.02467360510182031,0.0078024790209302915,0.7989174708221135,0.03664215719399273,0.011587267511494128,0.40414602243143527,0.08328037137304553,0.026335565792350808,-0.021483146664912144,-0.034079466614751204,-0.00972676036700342,-0.036591090678809876,-0.04829398029761141,-0.025763103905425563,0.002223330407019941,-0.006677557191700399,0.011476863748215828,-0.034823805934497666,-0.052364239352170924,-0.015403147956348852,0.010824407483170973,0.009346619192830112,0.012290865618450213
48,3,0.3,10,10000,0.025458824041980903,0.005972848651104599,0.001888780585695491,0.9970610304542158,0.005556972319576129,0.001757268942436965,0.8985119629933267,0.023199322863802017,0.007336270042323462,0.7589333159472553,0.03796681824621636,0.01200616211676832,0.7436708112529493,0.042066063599742916,0.013302457317268925,0.583802608036482,0.0504481781311996,0.015953114670048747,0.998605008203505,0.0032099638087521244,0.0010150796842365846,0.9259326470237295,0.01746007021338566,0.005521358998076082,0.8758522553030703,0.01708145905200046,0.005401631636322199,0.8003458161868003,0.029837676116391595,0.009435501661420475,0.37183969005250495,0.07888525531650656,0.024945708060406756,-0.016382469037476487,-0.023087172611518502,-0.009230111118831649,-0.043803153067879255,-0.058360373261378336,-0.03096630260448529,0.00365167577170693,-0.006273020063538532,0.012677155404524913,-0.0530233291621441,-0.06764566866021003,-0.03968865166844444,0.025256760421791462,0.02177872562861638,0.028782498303354033
48,3,0.4,10,10000,0.05208152379708588,0.013600172181909792,0.004300752066529677,0.999028436135923,0.0023404593748097844,0.0007401182395492632,0.8937321584821009,0.021539591868422702,0.006811417017465759,0.7014142424510696,0.030529394084238107,0.009654242089106283,0.7284979838147447,0.03644468737773757,0.011524822072644,0.6294124730619983,0.0722134395637991,0.022835894669652124,0.9996533136445759,0.0008237309529516888,0.00026048659905083356,0.9269855931332078,0.015664943002618417,0.0049536899304991186,0.8684490333212963,0.013360287320827235,0.004224893812808281,0.8074573109045728,0.04057595398031602,0.012831243281197358,0.3392331681427835,0.07139569096314566,0.022577299856504095,-0.015329522927998274,-0.02088654636794936,-0.009250486973800614,-0.04858295757910521,-0.06142041548031165,-0.035932651947683886,0.01076317048947939,-0.0015286047474650523,0.02243647580793536,-0.06819615660034875,-0.08667617568897568,-0.05133418357120943,0.05187946017689643,0.044195233915403254,0.06030915702497191
48,3,0.5,10,10000,0.09967624151554567,0.02035489644917298,0.0064367834316260385,0.9990927520223132,0.002545206868923305,0.0008048650822103276,0.8911823869943175,0.023751562835106682,0.0075109036547543395,0.6280961907851432,0.06107991126588779,0.019315163888118388,0.7180418840194173,0.04811877657394225,0.015216493219441112,0.7138833232587601,0.052256628244355376,0.016524996809284896,0.9998348135579448,0.0004261867979724786,0.00013477209902870634,0.9281734325670368,0.017105427144279067,0.005409211012599149,0.8551783987774305,0.018426132520172396,0.005826854723184324,0.821521754285685,0.05163662402414517,0.01632893425980681,0.3255085596654258,0.07920789618461209,0.0250477360613535,-0.014141683494169343,-0.020301590140583962,-0.007118334615986059,-0.05113272906688852,-0.06360985678596465,-0.03816113124765394,0.024827613870591535,0.006911363712291388,0.04237726337649855,-0.07865225639567618,-0.09769550258777289,-0.05971973874087981,0.09947417789535623,0.08757196178402347,0.11135349335129055
48,4,0.0,10,10000,0.00010093600971139225,5.778779066520318e-05,1.827410394510588e-05,0.9977550619654345,0.003340898656360342,0.0010564849185894865,0.8935061300024844,0.02438118506246313,0.007710007685145815,0.7895772784605788,0.02813469162499288,0.008896970680144138,0.7052849514790748,0.03332874116962838,0.010539473364224996,0.6267151749175327,0.07785124864600525,0.024618726440947616,0.9977550619654345,0.003340898656360342,0.0010564849185894865,0.8935061300024844,0.02438118506246313,0.007710007685145815,0.7895772784605788,0.02813469162499288,0.008896970680144138,0.7052849514790748,0.03332874116962838,0.010539473364224996,0.6267151749175327,0.07785124864600525,0.024618726440947616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4,0.1,10,10000,0.00523980515702552,0.0012437476417701452,0.0003933075382456834,0.9995948866840519,0.0004951892212978024,0.00015659258120662162,0.8705818948020058,0.022852147335253967,0.007226483500514997,0.7897655269669999,0.023569568827007042,0.007453352096144539,0.7082887008727365,0.03774134495034964,0.011934861200119934,0.5080501920330881,0.06808086177750565,0.02152905882840174,0.999839983390042,0.0004954663779298651,0.00015668022582921557,0.8758487003344166,0.021217096879834408,0.006709435147672857,0.8229169656581382,0.025483542362845713,0.008058603671598151,0.7483555488535061,0.032045867593375674,0.010133793119124572,0.4340655177832541,0.06682081143380547,0.021130595923144684,-0.01765742966806756,-0.03972360607212615,0.003788540459934252,-0.022924235200478527,-0.04259165030290344,-0.0010041684364633984,0.04307059737443138,0.01589101853862094,0.0656311672518152,0.0030037493936618032,-0.01636863626486132,0.02198021254157253,0.005138869147314129,0.004423156934887372,0.005877760912548724
48,4,0.2,10,10000,0.016836429501775538,0.0029454020640608323,0.0009314179147393403,0.9994391540920823,0.0013578224855850508,0.0004293811712639907,0.8625047625136387,0.021477626882315644,0.0067918219683378595,0.7505533637658391,0.034114995354716314,0.010788108768696743,0.6845513569072048,0.05426373166936404,0.017159698641540128,0.5569142899761984,0.06592891817962669,0.02084855451185024,0.9997451373586568,0.0007310765408304677,0.0002311867012941364,0.8885609908853251,0.018623819116236142,0.005889368713829036,0.8323533226171591,0.03321693973134536,0.010504118645159287,0.7517980642241573,0.031019294785838245,0.009809162293543377,0.3959281892444329,0.07137907164028034,0.022572044365161685,-0.004945139117159136,-0.027165322194244352,0.017947247969949506,-0.03100136748884551,-0.05277015872394731,-0.006895476248732557,0.04651311274508253,0.02867904986262705,0.06331334371054925,-0.02073359457187004,-0.049298786639034274,0.00771094472041497,0.016735493492064143,0.015028147325831675,0.018436517015909995
48,4,0.3,10,10000,0.04192624273648201,0.008274215150149764,0.002616536572474535,0.9960361458830466,0.008974047815549663,0.0028378430928395542,0.8598750066055274,0.016873260020950638,0.005335793321846444,0.6788981180111444,0.03129208621187501,0.00989542651678753,0.6652818504544803,0.054177996230931814,0.017132586715376232,0.6250772380120947,0.03579488670684454,0.011319337058131257,0.9998541290107387,0.0004549494716224845,0.00014386765506171908,0.8865509920196443,0.026633501918953285,0.008422252813035764,0.8152193495884623,0.026654856288554032,0.008429005657629305,0.7702527293068995,0.03017663722417731,0.009542690575302144,0.3794435363010686,0.049643145427835135,0.015698540976693307,-0.006955137982839943,-0.033448073595540605,0.017355436402760945,-0.03363112339695703,-0.05503239114425336,-0.011407037432871591,0.06496777782782465,0.039167410632384554,0.08609181700072784,-0.04000310102459438,-0.06769646917975163,-0.012022390340360624,0.041825306726770636,0.03701444020752319,0.0466457330297157
48,4,0.4,10,10000,0.11075993297292215,0.03609250376724938,0.011413451836271578,0.9974158734577447,0.004539078107788918,0.0014353825298020252,0.8460542498444734,0.027010064573494766,0.008541332380046786,0.6003221731251358,0.03183404702898134,0.010066809575249726,0.6527928485939206,0.061890020213020494,0.019571342830700413,0.7011689973104562,0.0632893710658935,0.0200138564247782,0.9998433656708127,0.00045824767445472574,0.00014491063837522914,0.8896103495070866,0.031000437373057722,0.009803199056026935,0.8020900094701757,0.04335088145828711,0.013708752398414894,0.7901924060603671,0.04701495229377323,0.014867433333248118,0.38887818084886894,0.056510726794852265,0.017870260890323994,-0.003895780495397694,-0.03018589122747061,0.022183425589676783,-0.04745188015801092,-0.07059182320744523,-0.02228241570200345,0.08490745458129231,0.054380017724609105,0.11639311824561667,-0.0524921028851542,-0.08480234862387037,-0.015075321358423944,0.11065899696321076,0.08966701624707779,0.13222130544824445
48,4,0.5,10,10000,0.2234538078991423,0.03852184448541539,0.012181676824470956,0.9976922933006735,0.0027358667160871054,0.0008651570197480479,0.8395462950822463,0.05055343178241336,0.01598639879703719,0.5473221667285844,0.06490407489082244,0.020524470608114322,0.6870274832473909,0.07323621266078142,0.023159323921252972,0.7527833939665961,0.10818412485452186,0.034210824121232115,0.9993092989199512,0.001427301032624691,0.00045135221698043196,0.9382518649737952,0.028585232528988234,0.009039444223713795,0.8531700087346529,0.0631276731901729,0.019962723066769408,0.8791115253021866,0.053703703972265045,0.01698260233397896,0.4062733562421844,0.03432006564986173,0.010852957690006992,0.04474573497131085,0.02206177930533213,0.07110232790783712,-0.05395983492023806,-0.08814465345332614,-0.016233888196397855,0.17382657382311187,0.13901420676833282,0.20857780451423757,-0.018257468231683817,-0.06275459980767444,0.0321574630782277,0.22335287188943087,0.19889491592454273,0.24431845759189494
